airport_code,lat,lng
AAA,-17.353000,-145.510000
AAE,36.822000,7.809000
AAH,50.823000,6.187000
AAL,57.093000,9.849000
AAO,9.429000,-64.471000
AAR,56.304000,10.619000
AAY,0.000000,0.000000
ABA,53.740000,91.385000
ABD,30.365000,48.233000
ABF,0.000000,0.000000
ABI,32.411000,-99.682000
ABJ,5.260000,-3.926000
ABK,0.000000,0.000000
ABM,-10.951000,142.459000
ABQ,0.000000,0.000000
ABQ,35.040000,-106.609000
ABS,22.376000,31.612000
ABT,20.296000,41.634000
ABU,0.000000,0.000000
ABV,9.007000,7.263000
ABX,-36.068000,146.958000
ABY,0.000000,0.000000
ABZ,57.204000,-2.200000
ACA,16.757000,-99.753000
ACC,5.603000,-0.168000
ACE,28.945000,-13.605000
ACH,47.485000,9.561000
ACI,0.000000,0.000000
ACK,41.253000,-70.060000
ACT,31.611000,-97.230000
ACY,39.458000,-74.577000
ADA,36.982000,35.280000
ADA,37.002000,35.426000
ADB,38.292000,27.157000
ADD,8.977000,38.800000
ADE,0.000000,0.000000
ADH,34.804000,-96.671000
ADI,0.000000,0.000000
ADJ,31.972000,35.991000
ADK,51.878000,-176.646000
ADL,-34.945000,138.531000
ADM,34.303000,-97.019000
ADQ,57.750000,-152.494000
ADW,38.811000,-76.867000
ADX,56.373000,-2.868000
ADZ,12.583000,-81.711000
AEA,0.000000,0.000000
AEH,13.847000,20.844000
AEP,-34.559000,-58.416000
AER,43.446000,39.947000
AES,62.560000,6.110000
AEX,31.327000,-92.548000
AEY,65.660000,-18.072000
AFA,-34.588000,-68.403000
AFL,-9.866000,-56.106000
AFY,38.726000,30.601000
AGA,30.381000,-9.546000
AGB,48.425000,10.932000
AGE,0.000000,0.000000
AGF,44.175000,0.591000
AGH,56.296000,12.847000
AGH,0.000000,0.000000
AGJ,0.000000,0.000000
AGP,36.674000,-4.499000
AGQ,38.602000,21.351000
AGR,27.156000,77.961000
AGS,33.370000,-81.964000
AGU,21.705000,-102.318000
AGV,9.553000,-69.238000
AGX,10.823000,72.176000
AGZ,-29.282000,18.814000
AHB,18.240000,42.656000
AHO,40.632000,8.291000
AHU,35.177000,-3.839000
AIG,45.154000,-89.111000
AIN,70.613000,-159.860000
AIS,0.000000,0.000000
AIT,-18.825000,-159.774000
AIU,0.000000,0.000000
AJA,41.924000,8.803000
AJJ,0.000000,0.000000
AJL,23.746000,92.803000
AJN,-12.132000,44.430000
AJO,29.785000,40.100000
AJR,65.590000,19.282000
AJU,-10.984000,-37.070000
AJY,16.965000,7.997000
AKD,20.699000,77.056000
AKF,24.179000,23.314000
AKJ,43.671000,142.447000
AKL,-37.008000,174.792000
AKN,58.677000,-156.649000
AKR,7.247000,5.301000
AKR,41.038000,-81.467000
AKT,34.590000,32.988000
AKX,50.245000,57.203000
AKY,20.133000,92.872000
ALA,43.352000,77.040000
ALB,42.748000,-73.803000
ALC,38.282000,-0.558000
ALF,69.977000,23.366000
ALG,36.691000,3.215000
ALI,27.741000,-98.027000
ALJ,-28.575000,16.533000
ALL,44.051000,8.127000
ALP,36.181000,37.224000
ALR,-45.212000,169.373000
ALU,0.000000,0.000000
ALY,31.184000,29.949000
AMA,35.219000,-101.706000
AMB,-13.188000,48.988000
AMC,0.000000,0.000000
AMD,23.075000,72.632000
AMH,0.000000,0.000000
AMI,-8.561000,116.094000
AMM,31.722000,35.993000
AMO,0.000000,0.000000
AMP,0.000000,0.000000
AMQ,-3.709000,128.090000
AMS,52.309000,4.764000
ANB,33.588000,-85.858000
ANC,61.174000,-149.996000
AND,34.495000,-82.709000
ANF,-23.444000,-70.445000
ANG,45.729000,0.221000
ANK,39.950000,32.689000
ANM,-14.999000,50.320000
ANN,55.042000,-131.572000
ANO,0.000000,0.000000
ANR,51.190000,4.463000
ANS,-13.706000,-73.350000
ANU,17.137000,-61.792000
ANX,69.293000,16.144000
AOC,50.982000,12.506000
AOJ,40.734000,140.691000
AOK,35.421000,27.146000
AOL,-29.689000,-57.152000
AOO,40.296000,-78.320000
AOR,6.194000,100.403000
APB,-14.739000,-68.411000
APG,39.466000,-76.169000
APK,0.000000,0.000000
APL,-15.106000,39.282000
APW,0.000000,0.000000
APW,-13.830000,-172.008000
AQA,-21.812000,-48.133000
AQI,28.335000,46.125000
AQJ,29.611000,35.018000
AQP,-16.341000,-71.583000
ARA,30.038000,-91.884000
ARI,-18.348000,-70.339000
ARK,-3.368000,36.633000
ARN,59.652000,17.919000
ARR,0.000000,0.000000
ART,43.992000,-76.022000
ARU,-21.141000,-50.425000
ARW,46.176000,21.262000
ARZ,0.000000,0.000000
ASA,0.000000,0.000000
ASB,37.992000,58.363000
ASD,24.698000,-77.796000
ASF,46.283000,48.006000
ASJ,28.431000,129.712000
ASK,6.903000,-5.366000
ASM,0.000000,0.000000
ASO,0.000000,0.000000
ASP,-23.807000,133.902000
ASR,38.770000,35.495000
ASU,-25.240000,-57.519000
ASV,0.000000,0.000000
ASW,23.964000,32.820000
ATA,-9.347000,-77.598000
ATB,0.000000,0.000000
ATF,-1.212000,-78.574000
ATI,-30.401000,-56.508000
ATJ,0.000000,0.000000
ATL,33.640000,-84.427000
ATM,-3.254000,-52.254000
ATQ,31.707000,74.799000
ATR,20.507000,-13.043000
ATV,0.000000,0.000000
AUA,12.501000,-70.015000
AUC,7.069000,-70.737000
AUF,47.850000,3.497000
AUG,44.321000,-69.797000
AUH,24.433000,54.651000
AUR,44.891000,2.422000
AUS,30.194000,-97.670000
AVB,46.032000,12.596000
AVI,22.027000,-78.789000
AVN,43.907000,4.902000
AVV,-38.039000,144.469000
AWA,0.000000,0.000000
AWD,0.000000,0.000000
AWZ,31.337000,48.762000
AXA,18.205000,-63.055000
AXD,40.856000,25.956000
AXK,0.000000,0.000000
AXM,4.454000,-75.765000
AXP,22.442000,-73.971000
AXR,-15.248000,-146.616000
AXT,39.616000,140.219000
AXU,0.000000,0.000000
AYP,-13.155000,-74.204000
AYT,36.901000,30.792000
AZD,31.905000,54.276000
AZI,24.428000,54.458000
AZR,27.837000,-0.186000
AZZ,0.000000,0.000000
BAB,39.136000,-121.436000
BAD,32.502000,-93.663000
BAG,16.375000,120.619000
BAH,26.271000,50.634000
BAK,40.468000,50.047000
BAL,37.929000,41.116000
BAQ,10.889000,-74.781000
BAS,0.000000,0.000000
BAU,-22.345000,-49.054000
BAV,0.000000,0.000000
BAX,53.364000,83.542000
BAY,47.658000,23.470000
BBA,-45.916000,-71.689000
BBG,0.000000,0.000000
BBI,20.244000,85.818000
BBJ,51.193000,14.520000
BBK,-17.833000,25.162000
BBN,0.000000,0.000000
BBO,10.389000,44.941000
